id,sentiment,quote_sentiment,tone,text,,
187,Neutral,Negative,Negative,"#CNN commentator raises question  will #Trump still have his supporters if isn't as provocative after #civil and tame #GOPDebate",,
188,Positive,Positive,Negative,TRUMP knows that if he does not get voted POTUS the country cannot recove #GOPDEBATE,,
189,Negative,Negative,Negative,"RT @LauraWalkerKC: Trump asked about how he will actually cut Social Security  he starts talking about how we are the policeman of the worl…",,
190,Neutral,Neutral,Positive,"RT @EmilyMiller: Last words from Trump to Florida voters: ""Be smart and unify."" #GOPDebate""",,
191,Positive,Positive,Positive,RT @foxnewspolitics: Trump triumphs at #GOPdebate. Rivals and moderators can't lay a glove on front-runner | Via @julieroginsky |  https://…,,
192,Negative,Negative,Negative,RT @srjones66: Donald Trump Humiliates Himself By Getting Common Core Wrong At Republican Debate via @politicususa https://t.co/9AlpSNGYNv …,,
193,Negative,Negative,Negative,RT @jenniferweiner: Cruz: Shouty shouty shout. Stand with cops. Abolish IRS. No third term for a failed adminstration. #GOPDebate,,
194,Negative,Negative,Negative,"RT @TeamMarcoWestPA: Ted Cruz starts inviting other candidates' supporters to join his team. The crowd starts chanting ""MAR-CO! MAR-CO! MAR…",,
195,Positive,Positive,Positive,RT @TomRtweets: Excellent answer by Rubio. Finest so far. #GOPDebate,,
196,Neutral,Positive,Positive,RT @cabot_phillips: .@marcorubio dominated the #GOPDebate in his hometown: https://t.co/nPUlJ9RXYx https://t.co/2wt4MW8051,,
197,Neutral,Neutral,Neutral,"RT @KennyCunningham: ""Too little  too late for Rubio? Maybe not"" read my thoughts on #GOPDebate & how it impacts the race: https://t.co/Lbp…",,
198,Negative,Negative,Negative,RT @ZaidJilani: What will actually happen to South Florida after Rubio moves his family to DC and becomes a lobbyist #GOPDebate https://t.c…,,
199,Positive,Positive,Positive,"RT @JohnKasich: ""A strong America is what the entire world is begging for..."" John Kasich will make it happen. #GOPDebate https://t.co/lSg…",,
200,Negative,Negative,Negative,"RT @TheDailyEdge: ICYMI: Kasich's 2 biggest accomplishments (balanced budget in '90s  better healthcare in Ohio) thanks entirely to Clinton…",,
201,Neutral,Neutral,Positive,"RT @TheDailyEdge: Kasich: ""We did great things in DC when Clinton was President. And thanks to Obama's auto bailout  Ohio is booming"" #CNND…",,
202,Positive,Positive,Positive,Kasich sounding good #gopdebate,,
203,Neutral,Neutral,Positive,RT @KLSouth: Pro-Amnesty #Kasich's big cities are sanctuary cities. And he likes Common Core. #GOPDebate #Ohio #OhioPrimary,,
204,Neutral,Positive,Negative,"RT @worldnetdaily: John Kasich: We don't want to ""lock the doors"" on international trade #GOPDebate",,
205,Negative,Negative,Negative,"RT @ashishphappd: Kasich benefitted from the other 3 attacking each other constantly. Without that dynamic  he has lost his gimmick. #GOPDe…",,
