"","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text","predictedLabel","actualLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"1251",1251,"629694355343716352","No candidate mentioned","2015-08-07 09:43:28 -0700","Negative","","","RT @BettyBowers: Asking about God violates  Article VI, paragraph 3 of the Constitution: ""There will be no religious test for office."" #GOP…",1,1,"1",1,"1",0.944682113994442,"1",0.886627595799374,3,1,1
"1252",1252,"629694353770835968","Ted Cruz","2015-08-07 09:43:27 -0700","Positive","SC & GA Swamps, USA","Atlantic Time (Canada)","@rushlimbaugh You are so #SpotOn Rush about t order coming down Fox to take out #Trump. #GOPDebate I knew it was true on 1st ? #Cruz2016",1,3,"3",0.999755979736765,"1",0.889322599533483,"1",0.85718322981142,2,3,1
"1253",1253,"629694350981787648","Jeb Bush","2015-08-07 09:43:27 -0700","Negative"," N.J. ","","RT @DoriaBiddle: Jeb Bush: ""Knowing what we know now...""  We knew it then, idiot!  #Iraq #GOPDebate",1,1,"1",0.99999998952038,"1",0.951054072857213,"1",0.900609105363058,3,1,1
"1256",1256,"629694340730880000","No candidate mentioned","2015-08-07 09:43:24 -0700","Positive","","","RT @_NateDrake: Really excited about this campaign season. Googling the date now for the #GOPDebate because I want to stay informed and on …",1,3,"3",1,"1",0.823372762412431,"1",0.756443335012943,2,3,1
"1257",1257,"629694339359338496","Donald Trump","2015-08-07 09:43:24 -0700","Negative","","Pacific Time (US & Canada)","RT @FreedomTexasMom: . @megynkelly nice attempt at provoking @realDonaldTrump to attack you instead of focusing on the issues. #epicFAIL #G…",1,1,"1",1,"1",0.877278505213297,"1",0.803237918194932,3,1,1
"1258",1258,"629694338004594688","No candidate mentioned","2015-08-07 09:43:23 -0700","Negative","Lamar's Sportsman's Club","Central Time (US & Canada)","Friendly reminder that a focus group is not a poll #GOPDebate  https://t.co/MheK8YWGLH",1,1,"1",1,"1",0.945213794389192,"1",0.923475894638515,3,1,1
"1260",1260,"629694321776705536","No candidate mentioned","2015-08-07 09:43:20 -0700","Negative","","Pacific Time (US & Canada)","RT @KLSouth: .@megynkelly's allegiance is to Murdock &amp; Ailes, not the American people. Understand this, you'll understand her. #kellyfile #…",1,1,"1",1,"1",0.958936135586348,"1",0.898156424248992,3,1,1
"1261",1261,"629694321118285824","No candidate mentioned","2015-08-07 09:43:19 -0700","Negative","Fayettechill/ 'Homa","Eastern Time (US & Canada)","RT @OhNoSheTwitnt: So are you people who are playing the drinking game dead yet? #GOPDebate",1,1,"1",1,"1",0.953857174618373,"1",0.882185918218267,3,1,1
"1263",1263,"629694318123577344","Donald Trump","2015-08-07 09:43:19 -0700","Negative","Chapel Hill, NC","Pacific Time (US & Canada)","RT @DudeYouCrazy: Trump just missed a golden opp to say, ""Know who else filed bankruptcy? 50 cent. And Fifty is a P.I.M.P. Sorry, Huckabee.…",1,1,"1",1,"1",0.901999293873454,"1",0.858990429475098,3,1,1
"1264",1264,"629694315829309440","Marco Rubio","2015-08-07 09:43:18 -0700","Positive","Winfield, Ks, U.S.A.","","I was surprisingly impressed with @marcorubio last night. Definitely is moving up my list of candidates! #GOPdebate",3,3,"3",1,"3",0.895523832340439,"3",0.564328179803276,3,3,3
"1265",1265,"629694315451695104","No candidate mentioned","2015-08-07 09:43:18 -0700","Negative","Republic of Texas","Central Time (US & Canada)","#FOXNEWS used crazy&gt; @DWStweets to stir the #drama pot, and that's unprofessional! @FoxNews #GOPDebate   @JulietteIsabell @LadySandersfarm",1,1,"1",1,"1",0.923421978089015,"1",0.853557254842706,3,1,1
"1266",1266,"629694314990444544","Donald Trump","2015-08-07 09:43:18 -0700","Negative","Washington, DC","","RT @katyfromkansas: Get Your Free Tacos Tonight, Courtesy of Donald Trump http://t.co/imXpyfqRPQ via #startup @Eat24 #GOPDebate http://t.co…",1,1,"1",1,"1",0.877606870926516,"1",0.835557762063324,3,1,1
"1267",1267,"629694314226913280","No candidate mentioned","2015-08-07 09:43:18 -0700","Negative","Janesville, Wisconsin","Central Time (US & Canada)","#GOPDebate Searched online. I just find crap raving about the debate and FoxNews. How many questions did each get? Or time per? #tcot Thks!",1,1,"1",0.999999972984236,"1",0.899106384443907,"1",0.887558148145611,3,1,1
"1269",1269,"629694309999050752","Donald Trump","2015-08-07 09:43:17 -0700","Negative","#gunrights #legalimmigration","Alaska","@AC360 @donnabrazile American people are not going to put up with #PCPolice feelings #trumptruth is the pulse of #AmericanVoters #GOPDebate",1,1,"1",1,"1",0.946421568164286,"1",0.898655047010944,3,1,1
"1270",1270,"629694309260988416","No candidate mentioned","2015-08-07 09:43:17 -0700","Negative","New York City","Eastern Time (US & Canada)","RT @Seductivpancake: ""repeal Obamacare"" is like playing a mana card in Magic: The Gathering for GOP candidates. It's an essential play. #GO…",1,1,"1",1,"1",0.921234129153592,"1",0.870474052664948,3,1,1
"1271",1271,"629694306736062464","Ben Carson","2015-08-07 09:43:16 -0700","Negative","","Eastern Time (US & Canada)","RT @Nitaina_: How can you deny the existence of something that shaped the country you're planning to run? #RaceBlindness #BenCarson #GOPDeb…",1,1,"1",1,"1",0.882666041453884,"1",0.867243726233034,3,1,1
"1272",1272,"629694305423261696","No candidate mentioned","2015-08-07 09:43:16 -0700","Negative","","","RT @BernieSanders: Still waiting. Will Fox ask if it's appropriate for billionaires to buy elections? #DebateWithBernie #GOPDebate",1,1,"1",1,"1",0.889494995947778,"1",0.90277552069394,3,1,1
"1274",1274,"629694302315266048","Scott Walker","2015-08-07 09:43:15 -0700","Negative","Granite City, IL","Central Time (US & Canada)","#GOPDebate: Meet Scott Walker’s Paranoid, Insurrectionist Adviser On Police Violence Against African... http://t.co/0QHLjkfnGg",1,1,"1",1,"1",0.961224472263642,"1",0.868516107009955,3,1,1
"1275",1275,"629694302227070976","No candidate mentioned","2015-08-07 09:43:15 -0700","Positive","Birmingham,Al","Central Time (US & Canada)","@CarlyFiorina heard some  of your response from #GOPDebate . They were clear and to the point. Wish you good luck.",3,3,"3",0.988594979785483,"3",0.677703229389839,"3",0.529809326881522,3,3,3
"1277",1277,"629694300029386752","No candidate mentioned","2015-08-07 09:43:14 -0700","Negative","Your mother's house","Eastern Time (US & Canada)","RT @mojowhoha: Check out @racewarspodcast with @Sherrod_Small @kurtmetzger on XM103 Sirius206 Wed @ 9pm est  Just Like the #GOPDebate it Ha…",1,1,"1",0.999999999994575,"1",0.933328487423351,"1",0.894167628448138,3,1,1
"1278",1278,"629694297298874368","No candidate mentioned","2015-08-07 09:43:14 -0700","Negative","","Central Time (US & Canada)","RT @RachelADolezal: #GOPDebate would have been comical, BUT alienating ""foreigners"" and immigrants, bashing BLM &amp; Obama and bein generally …",1,1,"1",0.999999999999999,"1",0.877665266839395,"1",0.842693037585235,3,1,1
"1279",1279,"629694295436427264","No candidate mentioned","2015-08-07 09:43:13 -0700","Negative","The Green Hell","","RT @zellieimani: White supremacist org Council of Conservative Citizens Platform on immigration. Sound familiar? #KKKorGOP #GOPDebate http:…",1,1,"1",0.999999999982446,"1",0.887131773709976,"1",0.881143953020333,3,1,1
"1282",1282,"629694291972001792","No candidate mentioned","2015-08-07 09:43:13 -0700","Negative","Fort Worth, TX","Central America","RT @AnthonyCumia: Poor Ronald Reagan is stuck in this debate like a bad group text. #GOPDebate",1,1,"1",1,"1",0.941531808412198,"1",0.858309968741659,3,1,1
"1283",1283,"629694290587848704","Donald Trump","2015-08-07 09:43:12 -0700","Negative","San Francisco Bay Area","Pacific Time (US & Canada)","Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night.",1,1,"1",1,"1",0.790698862558789,"1",0.807466191159961,3,1,1
"1284",1284,"629694289711341568","John Kasich","2015-08-07 09:43:12 -0700","Positive","Chicago","Central Time (US & Canada)","RT @pattonoswalt: Well holy shit, Kasich. Good on you. #GOPDebate",3,3,"3",0.999999999991934,"3",0.600770507113671,"3",0.645139680420213,3,3,3
"1285",1285,"629694288641724416","No candidate mentioned","2015-08-07 09:43:12 -0700","Negative","The Neverhood, WA","Pacific Time (US & Canada)","RT @Dreamdefenders: QTNA: What is a ""Hang-'em-by-the-neck Conservative"" &amp; what other kinds are there? #GOPDebate #KKKorGOP http://t.co/3rFI…",1,1,"1",0.999999999999995,"1",0.936239920709427,"1",0.868818955838716,3,1,1
"1286",1286,"629694284732612608","No candidate mentioned","2015-08-07 09:43:11 -0700","Negative","Austin, TX","Eastern Time (US & Canada)","@shutuphannuh I just convinced myself it was a very long SNL skit. If you look at it that way it's less terrifying. #GOPDebate",1,1,"1",1,"1",0.959310912444364,"1",0.903072840427216,3,1,1
"1287",1287,"629694280550871040","No candidate mentioned","2015-08-07 09:43:10 -0700","Negative","818 the valley, baby","Pacific Time (US & Canada)","RT @shannonrwatts: Black males age 15 to 34 are more likely to be killed with a gun than to die by any other cause #GOPdebate #gunsense",1,1,"1",1,"1",0.918243402113198,"1",0.869209998515681,3,1,1
"1291",1291,"629694272065957888","No candidate mentioned","2015-08-07 09:43:08 -0700","Positive","Boston, MA","","Lmfao!!! @KingHilarities you'll find this very funny <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> https://t.co/rHTbzSJKUe #GOPDebate #Republicandebate #Lmfao",1,3,"3",0.99728434162967,"1",0.865769187186561,"1",0.868516107009955,2,3,1
"1292",1292,"629694270572785664","No candidate mentioned","2015-08-07 09:43:07 -0700","Negative","Ayr","","RT @thomasjohnstn1: 10 wealthy, conservative men setting out the rights that women should and shouldn't be entitled to. #GOPDebate",1,1,"1",0.999999985727679,"1",0.928986721514393,"1",0.889300877843654,3,1,1
"1293",1293,"629694264910417920","Ted Cruz","2015-08-07 09:43:06 -0700","Positive","USA","Central Time (US & Canada)","RT @TheFriddle: It would be so epic. I'd love to see Cruz, Rubio, Fiorina debate. Just the three of them. #EPIC #GOPDebate  https://t.co/s1…",3,3,"3",0.999999999994958,"3",0.797105787451264,"3",0.542195806236655,3,3,3
"1294",1294,"629694263870234624","No candidate mentioned","2015-08-07 09:43:06 -0700","Negative","London, Ontario","","RT @CJSullivan_: I hope in the next #GOPDebate, they get around to how to stop ISIS from terrorizing our movie theaters and black churches.",1,1,"1",1,"1",0.877680340317889,"1",0.86728764755025,3,1,1
"1295",1295,"629694261143957504","Donald Trump","2015-08-07 09:43:05 -0700","Negative","","Atlantic Time (Canada)","RT @thehinestheory: Donald Trump wasn't kidding when he said he wasn't going to prepare for this debate... We can tell. #GOPDebate",1,1,"1",1,"1",0.825461674110864,"1",0.833682786990017,3,1,1
"1296",1296,"629694258954399744","No candidate mentioned","2015-08-07 09:43:05 -0700","Negative","Garden Grove, Ca","","RT @shannonrwatts: Thanks to #NRA influence, Congress slashed CDC funding for gun violence research #GOPDebate #gunsense",1,1,"1",1,"1",0.75538322514481,"1",0.756264392955938,3,1,1
"1297",1297,"629694257016672256","Donald Trump","2015-08-07 09:43:04 -0700","Negative","Beverly Hills Adjacent!","Pacific Time (US & Canada)","Congrats @megynkelly 4 calling out @realDonaldTrump 4 being the #pig that he is! #NeverWillBePOTUS #GOPDebate #Bernie2016",1,1,"1",1,"1",0.910239278148791,"1",0.809680976803448,3,1,1
"1298",1298,"629694253560655872","No candidate mentioned","2015-08-07 09:43:03 -0700","Negative","Georgia","Eastern Time (US & Canada)","#DeathByDemocrat   Anything goes. No morals. No values. No respect for others. Jerked up by the ears. #GOPDebate",1,1,"1",0.999999999996143,"1",0.889396762794439,"1",0.868680223706906,3,1,1
"1301",1301,"629694247223099392","No candidate mentioned","2015-08-07 09:43:02 -0700","Positive","America","","I SAW that! He's SO good - Stands WAY OUT in this GOP crowd! CONNECTS with people like ME! #Rick2016 #GOPDebate  https://t.co/CjWUMdTdPW",1,3,"3",0.992474031389612,"1",0.905553680595276,"1",0.776528382875387,2,3,1
"1302",1302,"629694245486505984","No candidate mentioned","2015-08-07 09:43:01 -0700","Negative","Florida","Eastern Time (US & Canada)","RT @JonFeere: Fox's @MegynKelly says she's ""switching topics to national security and terrorism""... As if that doesn't involve immigration.…",1,1,"1",0.999999999999999,"1",0.877558158985756,"1",0.898505474179841,3,1,1
"1303",1303,"629694241170558976","No candidate mentioned","2015-08-07 09:43:00 -0700","Negative","ya daddys wallet","Central Time (US & Canada)","it's scary how out of touch with the real world Republicans are. #GOPDebate",1,1,"1",1,"1",0.966776981688604,"1",0.886541471617923,3,1,1
"1304",1304,"629694234325442560","No candidate mentioned","2015-08-07 09:42:59 -0700","Positive","Kansas, USA","Pacific Time (US & Canada)","RT @greta: .@KarlRove: I think @CarlyFiorina did great tonight - @GovernorPerry did great too -OTR #greta #GOPDebate @FoxNews",3,3,"3",1,"3",0.9671994732123,"3",0.78972098898402,3,3,3
"1305",1305,"629694232933101568","Donald Trump","2015-08-07 09:42:58 -0700","Negative","","Central Time (US & Canada)","RT @Bipartisanism: Donald Trump at the #GOPDebate be like: http://t.co/Ak10IHSCXC",1,1,"1",0.999999999999998,"1",0.925653015576325,"1",0.785720639791578,3,1,1
"1308",1308,"629694221323227136","No candidate mentioned","2015-08-07 09:42:56 -0700","Negative","Central African Republic","","RT @keithboykin: After #Ferguson, #Baltimore, #Cleveland, #McKinney, #SandraBland and #SamDubose, not one question about #BlackLivesMatter …",1,1,"1",0.999999742449893,"1",0.879277475482286,"1",0.888497136321746,3,1,1
"1309",1309,"629694220027080704","Donald Trump","2015-08-07 09:42:55 -0700","Negative","","","Your wife @MELANIATRUMP looks exactly like @Caitlyn_Jenner. Get her a better plastic surgeon. #GOPDebate  https://t.co/w0kxqFX7cu",1,1,"1",1,"1",0.934324815716219,"1",0.868818955838716,3,1,1
"1311",1311,"629694214671101952","No candidate mentioned","2015-08-07 09:42:54 -0700","Negative","Inner Outer Space","Quito","In the #GOPdebate I noticed that they kept talking about policies in terms of being conservative or not, as opposed to good or not.",1,1,"1",1,"1",0.896763969044464,"1",0.862973762091817,3,1,1
"1312",1312,"629694213547008000","Donald Trump","2015-08-07 09:42:54 -0700","Positive","USA, North Carolina ","","RT @allegrakirkland: .@realdonaldtrump shared some inspiring applause lines at last night's #GOPDebate: http://t.co/5hWdKfgPxA http://t.co/…",3,3,"3",1,"3",0.505563190396954,"1",0.738986444681583,2,3,3
"1313",1313,"629694210803761152","Donald Trump","2015-08-07 09:42:53 -0700","Negative","iPhone: 48.022961,-122.076973","Pacific Time (US & Canada)","Watching the #GOPDebate from last night. Ouf, it's tough hearing Donald Trump speak. Gonna be a long road to the Republican nomination.",1,1,"1",0.999059527763748,"1",0.876503533828877,"1",0.783549971894348,3,1,1
"1314",1314,"629694208878587904","Donald Trump","2015-08-07 09:42:53 -0700","Negative","Oklahoma City","Central Time (US & Canada)","@realDonaldTrump posted #MeanTweets about my boy @FrankLuntz. I'm glad he had the good taste to avoid ugly comments about hair. #GOPDebate",1,1,"1",0.999999146345447,"1",0.877388748553329,"1",0.648374164512164,3,1,1
"1315",1315,"629694205955280896","No candidate mentioned","2015-08-07 09:42:52 -0700","Negative","Nashville, Tennessee","Central Time (US & Canada)","Who else saw the 10 Horsemen of the Apocalypse at the #GOPDebate last night?",1,1,"1",0.999999998979248,"1",0.900462739762261,"1",0.843872001929981,3,1,1
"1316",1316,"629694203946237952","Ted Cruz","2015-08-07 09:42:52 -0700","Negative","","","RT @TC_Watkins: @DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate",1,1,"1",0.988097239251201,"1",0.839424780311437,"1",0.816117630533823,3,1,1
"1317",1317,"629694202738151424","No candidate mentioned","2015-08-07 09:42:51 -0700","Negative","","Eastern Time (US & Canada)","RT @LinguisticShit: ""The purpose of the military is to kill people and break things."" Oh it is? I thought it was about protecting a nation'…",1,1,"1",0.999999999991313,"1",0.892644044433246,"1",0.864494469828713,3,1,1
"1318",1318,"629694200842440704","No candidate mentioned","2015-08-07 09:42:51 -0700","Negative","","Eastern Time (US & Canada)","Someone has something to say to @LindseyGrahamSC #GOPDebate  https://t.co/gMa5XoJqHY http://t.co/rJ0rZ1Zmn2",1,1,"1",0.999999999811115,"1",0.877489057614335,"1",0.846440245750852,3,1,1
"1320",1320,"629694188523642880","Ted Cruz","2015-08-07 09:42:48 -0700","Positive","Missouri City, TX","","RT @johncardillo: .@SenTedCruz is brilliant, principled, and fearless. The future of the party. The est. Rove, Priebus @GOP is a statist di…",3,3,"3",1,"3",0.5,"1",0.746121556127633,2,3,3
"1321",1321,"629694187198230528","Donald Trump","2015-08-07 09:42:48 -0700","Negative"," Los Angeles, arguably","Pacific Time (US & Canada)","I'm pretty sure Trump's popularity indicates there are just as many Republicans trolling this primary as Democrats. #GOPDebate",1,1,"1",1,"1",0.951087175235896,"1",0.894167628448138,3,1,1
"1323",1323,"629694180596563968","Donald Trump","2015-08-07 09:42:46 -0700","Negative","","","RT @laina622: The king of resting bitch face #GOPDebate http://t.co/PvOS66iH2R",1,1,"1",1,"1",0.877438878727571,"1",0.867386041849683,3,1,1
"1325",1325,"629694177308200960","No candidate mentioned","2015-08-07 09:42:45 -0700","Positive","The Omni Hotel in New Haven, C","","RT @adamslily: Here's your contrast. #GOPDebate http://t.co/lXaX6wuUnj",1,3,"3",1,"1",0.609488413281281,"1",0.761337437989649,2,3,1
"1326",1326,"629694174154096640","Donald Trump","2015-08-07 09:42:44 -0700","Negative","NJ","Quito","@realDonaldTrump the other repubs didn't have attack orders bc @foxnews had the attack order. #gopdebate @rushlimbaugh",1,1,"1",1,"1",0.917062721182481,"1",0.80678335379429,3,1,1
"1327",1327,"629694173038424064","No candidate mentioned","2015-08-07 09:42:44 -0700","Negative","Brooklyn, NY","Pacific Time (US & Canada)","Regardless of who you think won the #GOPDebate the real loser was all of us.",1,1,"1",0.999999999958264,"1",0.901266531154019,"1",0.751536165877836,3,1,1
"1328",1328,"629694171247419392","No candidate mentioned","2015-08-07 09:42:44 -0700","Negative","Your mother's house","Eastern Time (US & Canada)","RT @mojowhoha: @racewarspodcast Wed at 9pm est On XM103 Sirius 206 with @Sherrod_Small &amp; @kurtmetzger just as Funny as the #GOPDebate #Mark…",1,1,"1",0.999999999987798,"1",0.877244447341428,"1",0.895704785349912,3,1,1
"1329",1329,"629694170798653440","No candidate mentioned","2015-08-07 09:42:44 -0700","Negative","","","The #GOPDebate is my new favorite comedy sitcom.",1,1,"1",1,"1",0.877713672193495,"1",0.791038604456943,3,1,1
"1330",1330,"629694170005929984","Scott Walker","2015-08-07 09:42:43 -0700","Positive","Boston & Cambridge, MA","Eastern Time (US & Canada)",".@BorowitzReport assesses Walker's #GOPDebate performance, via @NewYorker: http://t.co/87P5EeW8W7",1,3,"3",0.999998967941842,"1",0.637700306490125,"1",0.860733490067359,2,3,1
"1332",1332,"629694158446399488","Ben Carson","2015-08-07 09:42:41 -0700","Negative","Black Twitter, USA","Eastern Time (US & Canada)","Look at that affirmative action letting that black man stand with those nine white guys @BenCarson2016 #GOPDebate",1,1,"1",1,"1",0.93023177073593,"1",0.870818102635429,3,1,1
"1334",1334,"629694152951918592","Donald Trump","2015-08-07 09:42:39 -0700","Negative","North Hollywood","Eastern Time (US & Canada)","RT @ScottWGraves: F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candida…",1,1,"1",1,"1",0.877664727998307,"1",0.700010025284246,3,1,1
"1337",1337,"629694139752255488","No candidate mentioned","2015-08-07 09:42:36 -0700","Positive","Minnesota","Central Time (US & Canada)","In the #GOPDebate, @megynkelly was asking candidates questions she thought the left would throw at them if they won the nomination. Smart!",1,3,"3",0.994032718060932,"1",0.751090391896717,"1",0.767109199172906,2,3,1
"1338",1338,"629694135994331136","Mike Huckabee","2015-08-07 09:42:35 -0700","Positive","Oklahoma","Eastern Time (US & Canada)","RT @SarahHuckabee: .@USAToday calls @GovMikeHuckabee debate closing a “show-stopping zinger” #ImWithHuck #GOPDebate",3,3,"3",1,"3",0.993404208698101,"3",0.825430258678902,3,3,3
"1339",1339,"629694131179270144","Scott Walker","2015-08-07 09:42:34 -0700","Negative","","","RT @fakedansavage: American Women: Scott Walker thinks your fetus should live, you should die. Rubio thinks you should bear your rapist's b…",1,1,"1",1,"1",0.920067513373022,"1",0.83086176921101,3,1,1
"1340",1340,"629694129572675584","Donald Trump","2015-08-07 09:42:34 -0700","Negative","","","Trump would put the POS in POTUS #GOPDebate #scary #ReallyAmerica",1,1,"1",1,"1",0.849599570875507,"1",0.817763228266143,3,1,1
"1341",1341,"629694127018504192","Scott Walker","2015-08-07 09:42:33 -0700","Positive"," Clarkrange Tennessee","","RT @StMarysAtLarge: Taking risks with his candidacy last night, #ScottWalker calls #Jesus by name.  It was worth it.  #Courage #GopDebate h…",1,3,"3",0.999999999674601,"1",0.828237000704878,"1",0.852632251428136,2,3,1
"1342",1342,"629694124828962816","No candidate mentioned","2015-08-07 09:42:33 -0700","Negative","","","RT @ddiamond: Three stats you didn’t hear in #GOPdebate.  Since 2009…  · U.S. has gained 8.1 million jobs · Unemployment rate <U+2193> 68% · Unins…",1,1,"1",1,"1",0.902565642916784,"1",0.872842584912294,3,1,1
"1343",1343,"629694120378826752","Donald Trump","2015-08-07 09:42:32 -0700","Negative"," Tropical SE FLorida","Eastern Time (US & Canada)","&gt;@realDonaldTrump has now spent more time attacking @megynkelly on Twitter than he spent on any #GOPdebate subject. http://t.co/L9WWPiEHdI",1,1,"1",1,"1",0.922349371976945,"1",0.860591433458526,3,1,1
"1345",1345,"629694113747763200","Marco Rubio","2015-08-07 09:42:30 -0700","Negative","lux et veritas","Eastern Time (US & Canada)","Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate http://t.co/z9v38Vhi03",1,1,"1",0.999999999876428,"1",0.804847522860608,"1",0.684634691216031,3,1,1
"1347",1347,"629694112061591552","Jeb Bush","2015-08-07 09:42:30 -0700","Negative","VA, USA","Eastern Time (US & Canada)","RT @BRios82: Yes, @JebBush Obama's dividing the country by creating jobs, ending wars, achieving diplomacy w/ Iran &amp; giving people Healthca…",1,1,"1",0.999999999972066,"1",0.87750072581686,"1",0.848069081666185,3,1,1
"1348",1348,"629694106583740416","No candidate mentioned","2015-08-07 09:42:28 -0700","Negative","","Pacific Time (US & Canada)","Based on tweets about the #GOPDebate, it doesn’t even sound like the candidates touched on topics that matter.",1,1,"1",0.999999744283429,"1",0.910530971754207,"1",0.888609747307642,3,1,1
"1349",1349,"629694102901133312","Donald Trump","2015-08-07 09:42:27 -0700","Negative","Scottsdale Az","","RT @luchadora41: Trump: ‘I Would’ Shut Down the Gov’t to Defund Planned Parenthood and Obamacare http://t.co/XiwhA8kjf7 Woot! #GOPDebate",1,1,"3",0.514864854237723,"1",0.851022891088582,"1",0.818545142874713,2,1,1
"1350",1350,"629694101764444160","Donald Trump","2015-08-07 09:42:27 -0700","Negative","United States Of America","Pacific Time (US & Canada)","It took the @POTUS 5 DAYS 2 lower the flag 2 honor soldiers killed in #Chattanooga, but Trump better not call a woman slob. #GOPDebate #PC",1,1,"1",0.999999999999801,"1",0.916138422113047,"1",0.867995964962753,3,1,1
"1351",1351,"629694100212711424","No candidate mentioned","2015-08-07 09:42:27 -0700","Negative","USA","Central Time (US & Canada)","I think @megynkelly fancies herself a kingmaker. #GOPDebate",1,1,"1",1,"1",0.877642725685988,"1",0.866865351301046,3,1,1
"1353",1353,"629694096425230336","Jeb Bush","2015-08-07 09:42:26 -0700","Negative","Bensalem,Pa","","RT @ThePatriot143: <f0><U+009F><U+0098><U+0082> @AnnCoulter ""Jeb looks more like Caitlyn Jenner every day."" http://t.co/d41aAmLNBj #GOPDebate #GOPDebate2016 http://t.…",1,1,"1",1,"1",0.91668321512135,"1",0.897193381540718,3,1,1
"1354",1354,"629694095137603584","Donald Trump","2015-08-07 09:42:26 -0700","Positive","","Eastern Time (US & Canada)","RT @AmyMek: .@foxnews tried their best to destroy @realDonaldTrump tonight! However, it didn't work….it just exposed your network! #Fail #G…",1,3,"3",0.993837201390309,"1",0.601353714741914,"1",0.67204129240043,2,3,1
"1355",1355,"629694092717326336","Donald Trump","2015-08-07 09:42:25 -0700","Negative","Jockistan","Edinburgh","RT @YvetteCooper_MP: Here's Donald Trump channelling his inner c*nt at the #GOPDebate http://t.co/7atHCmpMuR",1,1,"1",0.999999999999999,"1",0.891922935007083,"1",0.823705202779476,3,1,1
"1356",1356,"629694091949772800","Donald Trump","2015-08-07 09:42:25 -0700","Negative","America","Alaska","RT @Brenkoski: 37% of the time during the #GOPDebate was the commentators questions &amp; digs at @realDonaldTrump Terrible 1st debate hosted b…",1,1,"1",1,"1",0.910030816501322,"1",0.801066850204489,3,1,1
"1357",1357,"629694091761176576","Marco Rubio","2015-08-07 09:42:25 -0700","Negative","The Fla","Eastern Time (US & Canada)","I see Marco Rubio is still thirsty. #TrumpchoseCrist #GOPDebate #youmadbro http://t.co/TX5hLqiT2R",1,1,"1",0.999999999878097,"1",0.578851356095564,"1",0.620731204908969,3,1,1
"1358",1358,"629694090142216192","Donald Trump","2015-08-07 09:42:24 -0700","Negative","","Atlantic Time (Canada)","RT @GovtsTheProblem: Did @FoxNews, which excluded the only woman in @GOP field from first debate, ask Trump if he was part of the ""war on w…",1,1,"1",1,"1",0.922644345360428,"1",0.838336279112037,3,1,1
"1359",1359,"629694087763865600","Ted Cruz","2015-08-07 09:42:24 -0700","Positive","Houston, Texas","","RT @ChuckNellis: FINALLY a #TedCruz question! And he HAMMERS it over the center field wall &amp; out of the park!! #CruzCrew #GOPDebate",3,3,"3",1,"3",0.780450307909538,"1",0.563729643006451,2,3,3
"1360",1360,"629694084416835584","Donald Trump","2015-08-07 09:42:23 -0700","Negative","Best Place In America!","Hawaii","Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be President. #GOPDebate",1,1,"1",0.999999999999948,"1",0.894793579977813,"1",0.863878475614279,3,1,1
"1361",1361,"629694079975211008","Mike Huckabee","2015-08-07 09:42:22 -0700","Positive","PHILA, PA / AR / D.C. / U.S.A.","","RT @GovMikeHuckabee: .@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt; http://t.co/fWGhqVZ9dG #ImWithHuck",3,3,"3",0.999999999999979,"3",0.998604623121961,"3",0.985091340970847,3,3,3
"1362",1362,"629694078196674560","No candidate mentioned","2015-08-07 09:42:22 -0700","Negative",".... ranchin' in central #TX ","Mountain Time (US & Canada)","Yes ma'am @ConservVoice @KerryPicket ~&gt; @megynkelly Megyn you disappointed me!   #GOPDebate <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",1,1,"1",1,"1",0.902181758338377,"1",0.873582748261153,3,1,1
"1363",1363,"629694066473705472","No candidate mentioned","2015-08-07 09:42:19 -0700","Negative","Northeast Ohio","Eastern Time (US & Canada)","Women were biggest losers last night @DWStweets #gopdebate #CityClub No mention of income inequality or even voters rights on 50th anniv",1,1,"1",1,"1",0.926454601723791,"1",0.87576586214976,3,1,1
"1364",1364,"629694060366823424","No candidate mentioned","2015-08-07 09:42:17 -0700","Negative","United States","Eastern Time (US & Canada)","RT @FauxTimesNews1: #GOPDebate Democrats’ debate will be different. There Hillary Clinton will debate herself, changing her mask every 5 mi…",1,1,"1",1,"1",0.877676212301282,"1",0.854424541607949,3,1,1
